rank,eps_e,s_e,fitness,mode,primitive,k,mass_MeV,category
2,357.7297,1.9960,2.671,"(-2,-15)","(-2,-15)",1,1152.682,dark-massive
2,357.7297,1.9960,2.671,"(-3,-17)","(-3,-17)",1,1153.101,dark-massive
2,357.7297,1.9960,2.671,"(-4,-19)","(-4,-19)",1,1153.520,dark-massive
2,357.7297,1.9960,2.671,"(+0,-12)","(+0,-1)",12,1256.557,ring-only
2,357.7297,1.9960,2.671,"(-4,+5)","(-4,+5)",1,1359.596,dark-massive
2,357.7297,1.9960,2.671,"(-3,+7)","(-3,+7)",1,1360.014,dark-massive
2,357.7297,1.9960,2.671,"(-2,+9)","(-2,+9)",1,1360.433,dark-massive
2,357.7297,1.9960,2.671,"(+0,-13)","(+0,-1)",13,1361.271,ring-only
2,357.7297,1.9960,2.671,"(-2,-17)","(-2,-17)",1,1362.108,dark-massive
2,357.7297,1.9960,2.671,"(-3,-19)","(-3,-19)",1,1362.527,dark-massive
2,357.7297,1.9960,2.671,"(-4,-21)","(-4,-21)",1,1362.947,dark-massive
2,357.7297,1.9960,2.671,"(-4,+6)","(-2,+3)",2,1464.309,dark-massive
2,357.7297,1.9960,2.671,"(-3,+8)","(-3,+8)",1,1464.727,dark-massive
2,357.7297,1.9960,2.671,"(+0,-14)","(+0,-1)",14,1465.984,ring-only
2,357.7297,1.9960,2.671,"(-3,-20)","(-3,-20)",1,1467.241,dark-massive
2,357.7297,1.9960,2.671,"(-4,-22)","(-2,-11)",2,1467.660,dark-massive
2,357.7297,1.9960,2.671,"(-4,+7)","(-4,+7)",1,1569.022,dark-massive
2,357.7297,1.9960,2.671,"(-2,+11)","(-2,+11)",1,1569.859,dark-massive
2,357.7297,1.9960,2.671,"(+0,-15)","(+0,-1)",15,1570.697,ring-only
2,357.7297,1.9960,2.671,"(-2,-19)","(-2,-19)",1,1571.535,dark-massive
2,357.7297,1.9960,2.671,"(-4,-23)","(-4,-23)",1,1572.373,dark-massive
2,357.7297,1.9960,2.671,"(-3,+10)","(-3,+10)",1,1674.154,dark-massive
2,357.7297,1.9960,2.671,"(+0,-16)","(+0,-1)",16,1675.410,ring-only
2,357.7297,1.9960,2.671,"(-3,-22)","(-3,-22)",1,1676.667,dark-massive
2,357.7297,1.9960,2.671,"(-4,+9)","(-4,+9)",1,1778.448,dark-massive
2,357.7297,1.9960,2.671,"(-3,+11)","(-3,+11)",1,1778.867,dark-massive
2,357.7297,1.9960,2.671,"(-2,+13)","(-2,+13)",1,1779.285,dark-massive
2,357.7297,1.9960,2.671,"(+0,-17)","(+0,-1)",17,1780.123,ring-only
2,357.7297,1.9960,2.671,"(-2,-21)","(-2,-21)",1,1780.961,dark-massive
2,357.7297,1.9960,2.671,"(-3,-23)","(-3,-23)",1,1781.380,dark-massive
2,357.7297,1.9960,2.671,"(-4,-25)","(-4,-25)",1,1781.799,dark-massive
2,357.7297,1.9960,2.671,"(-4,+10)","(-2,+5)",2,1883.161,dark-massive
2,357.7297,1.9960,2.671,"(+0,-18)","(+0,-1)",18,1884.836,ring-only
2,357.7297,1.9960,2.671,"(-4,-26)","(-2,-13)",2,1886.512,dark-massive
2,357.7297,1.9960,2.671,"(-4,+11)","(-4,+11)",1,1987.874,dark-massive
2,357.7297,1.9960,2.671,"(-3,+13)","(-3,+13)",1,1988.293,dark-massive
2,357.7297,1.9960,2.671,"(-2,+15)","(-2,+15)",1,1988.712,dark-massive
2,357.7297,1.9960,2.671,"(+0,-19)","(+0,-1)",19,1989.549,ring-only
2,357.7297,1.9960,2.671,"(-2,-23)","(-2,-23)",1,1990.387,dark-massive
2,357.7297,1.9960,2.671,"(-3,-25)","(-3,-25)",1,1990.806,dark-massive
2,357.7297,1.9960,2.671,"(-4,-27)","(-4,-27)",1,1991.225,dark-massive
2,357.7297,1.9960,2.671,"(-3,+14)","(-3,+14)",1,2093.006,dark-massive
2,357.7297,1.9960,2.671,"(+0,-20)","(+0,-1)",20,2094.262,ring-only
2,357.7297,1.9960,2.671,"(-3,-26)","(-3,-26)",1,2095.519,dark-massive
2,357.7297,1.9960,2.671,"(-4,+13)","(-4,+13)",1,2197.300,dark-massive
2,357.7297,1.9960,2.671,"(-2,+17)","(-2,+17)",1,2198.138,dark-massive
2,357.7297,1.9960,2.671,"(+0,-21)","(+0,-1)",21,2198.976,ring-only
2,357.7297,1.9960,2.671,"(-2,-25)","(-2,-25)",1,2199.813,dark-massive
2,357.7297,1.9960,2.671,"(-4,-29)","(-4,-29)",1,2200.651,dark-massive
2,357.7297,1.9960,2.671,"(-4,+14)","(-2,+7)",2,2302.014,dark-massive
2,357.7297,1.9960,2.671,"(-3,+16)","(-3,+16)",1,2302.432,dark-massive
2,357.7297,1.9960,2.671,"(+0,-22)","(+0,-1)",22,2303.689,ring-only
2,357.7297,1.9960,2.671,"(-3,-28)","(-3,-28)",1,2304.945,dark-massive
2,357.7297,1.9960,2.671,"(-4,-30)","(-2,-15)",2,2305.364,dark-massive
2,357.7297,1.9960,2.671,"(-4,+15)","(-4,+15)",1,2406.727,dark-massive
2,357.7297,1.9960,2.671,"(-3,+17)","(-3,+17)",1,2407.145,dark-massive
2,357.7297,1.9960,2.671,"(-2,+19)","(-2,+19)",1,2407.564,dark-massive
2,357.7297,1.9960,2.671,"(+0,-23)","(+0,-1)",23,2408.402,ring-only
2,357.7297,1.9960,2.671,"(-2,-27)","(-2,-27)",1,2409.240,dark-massive
2,357.7297,1.9960,2.671,"(-3,-29)","(-3,-29)",1,2409.659,dark-massive
3,366.3780,2.0040,2.396,"(-4,-9)","(-4,-9)",1,103.842,dark-massive
3,366.3780,2.0040,2.396,"(-3,-7)","(-3,-7)",1,104.261,dark-massive
3,366.3780,2.0040,2.396,"(-2,-5)","(-2,-5)",1,104.681,dark-massive
3,366.3780,2.0040,2.396,"(+0,-1)","(+0,-1)",1,105.524,ring-only
3,366.3780,2.0040,2.396,"(-2,-3)","(-2,-3)",1,106.370,dark-massive
3,366.3780,2.0040,2.396,"(-3,-5)","(-3,-5)",1,106.794,dark-massive
3,366.3780,2.0040,2.396,"(-4,-7)","(-4,-7)",1,107.219,dark-massive
3,366.3780,2.0040,2.396,"(-4,-10)","(-2,-5)",2,209.363,dark-massive
3,366.3780,2.0040,2.396,"(-3,-8)","(-3,-8)",1,209.783,dark-massive
3,366.3780,2.0040,2.396,"(+0,-2)","(+0,-1)",2,211.048,ring-only
3,366.3780,2.0040,2.396,"(-1,+0)","(-1,+0)",1,211.470,tube-only
3,366.3780,2.0040,2.396,"(-3,-4)","(-3,-4)",1,212.316,dark-massive
3,366.3780,2.0040,2.396,"(-4,-6)","(-2,-3)",2,212.739,dark-massive
3,366.3780,2.0040,2.396,"(-4,-11)","(-4,-11)",1,314.886,dark-massive
3,366.3780,2.0040,2.396,"(-2,-7)","(-2,-7)",1,315.728,dark-massive
3,366.3780,2.0040,2.396,"(+0,-3)","(+0,-1)",3,316.572,ring-only
3,366.3780,2.0040,2.396,"(-2,-1)","(-2,-1)",1,317.417,dark-massive
3,366.3780,2.0040,2.396,"(-4,-5)","(-4,-5)",1,318.262,dark-massive
3,366.3780,2.0040,2.396,"(-3,-10)","(-3,-10)",1,420.830,dark-massive
3,366.3780,2.0040,2.396,"(+0,-4)","(+0,-1)",4,422.096,ring-only
3,366.3780,2.0040,2.396,"(-2,+0)","(-1,+0)",2,422.940,tube-only
3,366.3780,2.0040,2.396,"(-3,-2)","(-3,-2)",1,423.363,dark-massive
3,366.3780,2.0040,2.396,"(-4,-13)","(-4,-13)",1,525.933,dark-massive
3,366.3780,2.0040,2.396,"(-3,-11)","(-3,-11)",1,526.354,dark-massive
3,366.3780,2.0040,2.396,"(-2,-9)","(-2,-9)",1,526.776,dark-massive
3,366.3780,2.0040,2.396,"(+0,-5)","(+0,-1)",5,527.620,ring-only
3,366.3780,2.0040,2.396,"(-2,+1)","(-2,+1)",1,528.464,dark-massive
3,366.3780,2.0040,2.396,"(-3,-1)","(-3,-1)",1,528.887,dark-massive
3,366.3780,2.0040,2.396,"(-4,-3)","(-4,-3)",1,529.309,dark-massive
3,366.3780,2.0040,2.396,"(-4,-14)","(-2,-7)",2,631.456,dark-massive
3,366.3780,2.0040,2.396,"(+0,-6)","(+0,-1)",6,633.144,ring-only
3,366.3780,2.0040,2.396,"(-3,+0)","(-1,+0)",3,634.410,tube-only
